46							// Number of powerups
// Powerup 0
n/a
none						// Icon
-1							// Fizzle type
-1							// Time limit (-1 instantaneous, 0 whole race, x seconds)
0							// Action index
0							// Number of floating point params
2							// Number of integer params
100							// Integer param #1 (minimum credits)
1000						// Integer param #2 (maximum credits)
0							// Group inclusion
37							// Pratcam sequence
0							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 1
n/a
none						// Icon
-1							// Fizzle type
-1							// Time limit (-1 instantaneous, 0 whole race, x seconds)
0							// Action index
0							// Number of floating point params
2							// Number of integer params
2000						// Integer param #1 (minimum credits)
10000						// Integer param #2 (maximum credits)
0							// Group inclusion
38							// Pratcam sequence
0							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 2
Pedestrians glued to ground!
sglue.PIX					// Icon
1							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
1							// Action index
1							// Number of floating point params
0							// Floating point param #1 (speed factor)
0							// Number of integer params
32							// Group inclusion
38							// Pratcam sequence
1							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 3
Giant pedestrians!
Sgiant.PIX					// Icon
1							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
2							// Action index
1							// Number of floating point params
2.0							// Floating point param #1 (size factor)
0							// Number of integer params
16							// Group inclusion
40							// Pratcam sequence
1							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 4
Explosive pedestrians!
Cexplo.PIX				// Icon
0							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
3							// Action index
0							// Number of floating point params
0							// Number of integer params
0							// Group inclusion
38							// Pratcam sequence
1							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 5
Hot rod!
chotrod.PIX					// Icon
0							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
9							// Action index
7							// Number of floating point params
8							// Floating point param #1 (speed factor)
2.2							// Grip multiplier
1.0							// Floating point param #1 (front suspension give multiplier)
1.5							// Floating point param #2 (rear suspension give multiplier)
0.0							// Floating point param #3 (front extra ride height)
0.15						// Floating point param #4 (rear extra ride height)
1.5							// Floating point param #5 (damping multiplier)
0							// Number of integer params
7							// Group inclusion
38							// Pratcam sequence
0							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 6
Turbo pedestrians!
Dturbped.PIX					// Icon
2							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
1							// Action index
1							// Number of floating point params
4.0							// Floating point param #1 (speed factor)
0							// Number of integer params
32							// Group inclusion
39							// Pratcam sequence
1							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 7
Invulnerability!
Cinvun.PIX				// Icon
0							// Fizzle type
30							// Time limit (-1 instantaneous, 0 whole race, x seconds)
5							// Action index
0							// Number of floating point params
0							// Number of integer params
0							// Group inclusion
38							// Pratcam sequence
0							// Net type (0 = local, 1 = global, 2 = don't use)
// Powerup 8
Free repairs!
Crepair.PIX					// Icon
0							// Fizzle type
